variant, base
mondta, mond
szólt, szól
mondja, mond
mondotta, mond
mondani, mond
kérdezte, kérdez
ment, megy
egészen, egész
tudja, tud
tudta, tud
tudom, tud
látta, lát
felelte, felel
végre, vég
jött, jöt
emberek, ember
kezdett, kezd
folytatta, folytat
fogja, fog
fejét, fej
akart, akar
pillanatban, pillanat
nézett, néz
kiáltott, kiál
tudott, tud
láttam, lát
sőt, ső
embert, ember
állt, áll
maradt, marad
hangon, hang
kutyát, kutyá
orrát, orrá
adott, ad
végig, vég
egyet, egy
fordult, fordul
napon, nap
kezdte, kezd
kezét, kez
szeme, szem
állott, áll
kutyák, kutyá
emberi, ember
kapott, kap
többet, több
